ds,y
2017-12-02 00:00:00 UTC,1459.122544
2017-12-03 00:00:00 UTC,1561.019628
2017-12-04 00:00:00 UTC,1576.254241
2017-12-05 00:00:00 UTC,1537.577926
2017-12-06 00:00:00 UTC,1364.522089
2017-12-07 00:00:00 UTC,1420.160155
2017-12-08 00:00:00 UTC,1499.396953
2017-12-09 00:00:00 UTC,1448.901643
2017-12-10 00:00:00 UTC,1348.877413
2017-12-11 00:00:00 UTC,1437.217525
2017-12-12 00:00:00 UTC,1616.724384
2017-12-13 00:00:00 UTC,1624.644377
2017-12-14 00:00:00 UTC,1970.535725
2017-12-15 00:00:00 UTC,1838.435888
2017-12-16 00:00:00 UTC,1816.401904
2017-12-17 00:00:00 UTC,1876.696439
2017-12-18 00:00:00 UTC,2208.310707
2017-12-19 00:00:00 UTC,2857.529687
2017-12-20 00:00:00 UTC,3785.819765
2017-12-21 00:00:00 UTC,3194.086079
2017-12-22 00:00:00 UTC,3238.439253
